2013-05-10 03:11:56 startup archives install
2013-05-10 03:11:56 install base-files:armhf <none> 7.1
2013-05-10 03:11:56 status half-installed base-files:armhf 7.1
2013-05-10 03:11:56 status unpacked base-files:armhf 7.1
2013-05-10 03:11:56 status unpacked base-files:armhf 7.1
2013-05-10 03:11:56 install base-passwd:armhf <none> 3.5.26
2013-05-10 03:11:56 status half-installed base-passwd:armhf 3.5.26
2013-05-10 03:11:56 status unpacked base-passwd:armhf 3.5.26
2013-05-10 03:11:57 status unpacked base-passwd:armhf 3.5.26
2013-05-10 03:11:57 configure base-passwd:armhf 3.5.26 3.5.26
2013-05-10 03:11:57 status unpacked base-passwd:armhf 3.5.26
2013-05-10 03:11:57 status half-configured base-passwd:armhf 3.5.26
2013-05-10 03:11:57 status installed base-passwd:armhf 3.5.26
2013-05-10 03:11:57 configure base-files:armhf 7.1 7.1
2013-05-10 03:11:57 status unpacked base-files:armhf 7.1
2013-05-10 03:11:57 status unpacked base-files:armhf 7.1
2013-05-10 03:11:57 status unpacked base-files:armhf 7.1
2013-05-10 03:11:57 status unpacked base-files:armhf 7.1
2013-05-10 03:11:57 status unpacked base-files:armhf 7.1
2013-05-10 03:11:57 status unpacked base-files:armhf 7.1
2013-05-10 03:11:57 status unpacked base-files:armhf 7.1
2013-05-10 03:11:57 status half-configured base-files:armhf 7.1
2013-05-10 03:12:02 status installed base-files:armhf 7.1
2013-05-10 03:12:02 startup archives install
2013-05-10 03:12:02 upgrade dpkg 1.16.10 1.16.10
2013-05-10 03:12:02 status half-configured dpkg 1.16.10
2013-05-10 03:12:02 status unpacked dpkg 1.16.10
2013-05-10 03:12:02 status half-installed dpkg 1.16.10
2013-05-10 03:12:03 status half-installed dpkg 1.16.10
2013-05-10 03:12:03 status unpacked dpkg 1.16.10
2013-05-10 03:12:03 status unpacked dpkg 1.16.10
2013-05-10 03:12:03 configure dpkg 1.16.10 1.16.10
2013-05-10 03:12:03 status unpacked dpkg 1.16.10
2013-05-10 03:12:03 status unpacked dpkg 1.16.10
2013-05-10 03:12:03 status unpacked dpkg 1.16.10
2013-05-10 03:12:04 status unpacked dpkg 1.16.10
2013-05-10 03:12:04 status unpacked dpkg 1.16.10
2013-05-10 03:12:04 status half-configured dpkg 1.16.10
2013-05-10 03:12:04 status installed dpkg 1.16.10
2013-05-10 03:12:04 startup archives install
2013-05-10 03:12:05 install libc6:armhf <none> 2.13-38
2013-05-10 03:12:05 status half-installed libc6:armhf 2.13-38
2013-05-10 03:12:06 status unpacked libc6:armhf 2.13-38
2013-05-10 03:12:07 status unpacked libc6:armhf 2.13-38
2013-05-10 03:12:07 configure libc6:armhf 2.13-38 2.13-38
2013-05-10 03:12:07 status unpacked libc6:armhf 2.13-38
2013-05-10 03:12:07 status unpacked libc6:armhf 2.13-38
2013-05-10 03:12:07 status half-configured libc6:armhf 2.13-38
2013-05-10 03:12:12 status installed libc6:armhf 2.13-38
2013-05-10 03:12:12 startup archives install
2013-05-10 03:12:12 install perl-base:armhf <none> 5.14.2-21
2013-05-10 03:12:12 status half-installed perl-base:armhf 5.14.2-21
2013-05-10 03:12:14 status unpacked perl-base:armhf 5.14.2-21
2013-05-10 03:12:14 status unpacked perl-base:armhf 5.14.2-21
2013-05-10 03:12:14 configure perl-base:armhf 5.14.2-21 5.14.2-21
2013-05-10 03:12:14 status unpacked perl-base:armhf 5.14.2-21
2013-05-10 03:12:14 status half-configured perl-base:armhf 5.14.2-21
2013-05-10 03:12:14 status installed perl-base:armhf 5.14.2-21
2013-05-10 03:12:14 startup archives install
2013-05-10 03:12:14 install mawk:armhf <none> 1.3.3-17
2013-05-10 03:12:14 status half-installed mawk:armhf 1.3.3-17
2013-05-10 03:12:15 status unpacked mawk:armhf 1.3.3-17
2013-05-10 03:12:15 status unpacked mawk:armhf 1.3.3-17
2013-05-10 03:12:15 configure mawk:armhf 1.3.3-17 1.3.3-17
2013-05-10 03:12:15 status unpacked mawk:armhf 1.3.3-17
2013-05-10 03:12:15 status half-configured mawk:armhf 1.3.3-17
2013-05-10 03:12:15 status installed mawk:armhf 1.3.3-17
2013-05-10 03:12:15 startup archives install
2013-05-10 03:12:16 install debconf:all <none> 1.5.49
2013-05-10 03:12:16 status half-installed debconf:all 1.5.49
2013-05-10 03:12:16 status unpacked debconf:all 1.5.49
2013-05-10 03:12:16 status unpacked debconf:all 1.5.49
2013-05-10 03:12:16 configure debconf:all 1.5.49 1.5.49
2013-05-10 03:12:16 status unpacked debconf:all 1.5.49
2013-05-10 03:12:16 status unpacked debconf:all 1.5.49
2013-05-10 03:12:16 status unpacked debconf:all 1.5.49
2013-05-10 03:12:16 status unpacked debconf:all 1.5.49
2013-05-10 03:12:16 status half-configured debconf:all 1.5.49
2013-05-10 03:12:21 status installed debconf:all 1.5.49
2013-05-10 03:12:30 startup archives unpack
2013-05-10 03:12:30 install libacl1:armhf <none> 2.2.51-8
2013-05-10 03:12:30 status half-installed libacl1:armhf 2.2.51-8
2013-05-10 03:12:30 status unpacked libacl1:armhf 2.2.51-8
2013-05-10 03:12:30 status unpacked libacl1:armhf 2.2.51-8
2013-05-10 03:12:30 install libattr1:armhf <none> 1:2.4.46-8
2013-05-10 03:12:30 status half-installed libattr1:armhf 1:2.4.46-8
2013-05-10 03:12:31 status unpacked libattr1:armhf 1:2.4.46-8
2013-05-10 03:12:31 status unpacked libattr1:armhf 1:2.4.46-8
2013-05-10 03:12:31 upgrade base-files:armhf 7.1 7.1
