Jan  1 00:00:18 debian-armhf kernel: imklog 5.8.11, log source = /proc/kmsg started.
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] Booting Linux on physical CPU 0x0
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] Linux version 5.10.100-g7a7a3af903 (root@Ubuntu) (arm-none-linux-gnueabihf-gcc (GNU Toolchain for the A-profile Architecture 9.2-2019.12 (arm-9.10)) 9.2.1 20191025, GNU ld (GNU Toolchain for the A-profile Architecture 9.2-2019.12 (arm-9.10)) 2.33.1.20191209) #63 PREEMPT Thu Nov 24 22:32:46 CET 2022
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] CPU: ARMv7 Processor [413fc082] revision 2 (ARMv7), cr=10c5387d
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] CPU: PIPT / VIPT nonaliasing data cache, VIPT aliasing instruction cache
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] OF: fdt: Machine model: Lars Board
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] Memory policy: Data cache writeback
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] efi: UEFI not found.
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] cma: Reserved 48 MiB at 0x9c800000
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] Zone ranges:
Jan  1 00:00:18 debian-armhf kernel: [    0.000000]   Normal   [mem 0x0000000080000000-0x000000009fefffff]
Jan  1 00:00:18 debian-armhf kernel: [    0.000000]   HighMem  empty
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] Movable zone start for each node
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] Early memory node ranges
Jan  1 00:00:18 debian-armhf kernel: [    0.000000]   node   0: [mem 0x0000000080000000-0x000000009fefffff]
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] Initmem setup node 0 [mem 0x0000000080000000-0x000000009fefffff]
Jan  1 00:00:18 debian-armhf kernel: [    0.000000] On node 0 totalpages: 130816
Jan  1 00:00:18 debian-armhf kernel: [    0.000000]   Normal zone: 1150 pages used for memmap
Jan  1 00:00:18 debian-armhf kernel: [    0.000000]   Normal zone: 0 pages reserved
